9.800817, 288.4651, 2.205812, 7.959065, 13.7076, 19.45277, 25.1955, 0
9.9567, 292.2647, 2.209049, 7.961174, 13.71051, 19.45561, 25.19873, 0
10.11242, 292.6009, 2.20943, 7.96126, 13.71052, 19.45594, 25.19916, 0
10.26815, 293.1651, 2.211059, 7.963741, 13.71218, 19.45708, 25.20071, 0
10.42398, 293.2557, 2.211148, 7.963328, 13.71218, 19.45776, 25.20089, 0
10.57987, 296.222, 2.212781, 7.965009, 13.71467, 19.45981, 25.20259, 0
10.7356, 296.2259, 2.214285, 7.966292, 13.71552, 19.46019, 25.20368, 0
10.89135, 296.4487, 2.213976, 7.966751, 13.71593, 19.46053, 25.20395, 0
11.04723, 298.2886, 2.216013, 7.968431, 13.71759, 19.46251, 25.20624, 0
11.20308, 299.1285, 2.216575, 7.969621, 13.71842, 19.46329, 25.20697, 0
11.35897, 298.9943, 2.216805, 7.969317, 13.71802, 19.46323, 25.20651, 0
11.5146, 302.515, 2.21912, 7.971838, 13.7205, 19.46602, 25.20884, 0
11.67045, 302.8145, 2.219245, 7.971854, 13.72134, 19.46638, 25.20916, 0
11.82627, 303.2682, 2.220718, 7.973565, 13.72265, 19.46754, 25.21099, 0
11.98203, 304.1606, 2.221924, 7.973993, 13.72342, 19.46869, 25.21172, 0
12.13778, 306.4464, 2.22449, 7.976575, 13.72551, 19.4706, 25.21451, 0
12.29352, 293.9131, 2.21108, 7.963225, 13.71217, 19.45713, 25.19971, 0
12.44925, 307.1, 2.22314, 7.975991, 13.7255, 19.47065, 25.21396, 0
12.60495, 305.2361, 2.222074, 7.974421, 13.72342, 19.46829, 25.21172, 0
12.76082, 297.2537, 2.214708, 7.967545, 13.71675, 19.4614, 25.20524, 0
12.91658, 289.5319, 2.20908, 7.960311, 13.708, 19.45213, 25.19483, 0
13.07233, 226.6574, 2.144507, 7.896243, 13.6455, 19.38911, 25.13167, 0
13.22812, 216.8534, 2.13481, 7.886351, 13.6355, 19.37945, 25.1219, 0
13.3837, 209.6987, 2.128025, 7.879054, 13.62885, 19.37203, 25.11428, 0
13.53955, 202.9267, 2.121889, 7.87343, 13.62222, 19.36556, 25.10807, 0
13.69518, 199.2861, 2.117444, 7.869577, 13.61815, 19.36154, 25.10346, 0
13.85095, 195.6373, 2.113808, 7.865727, 13.61476, 19.35822, 25.09942, 0
14.00682, 191.8786, 2.11098, 7.862732, 13.61103, 19.35416, 25.09674, 0
14.16262, 189.8717, 2.108556, 7.859738, 13.60896, 19.35203, 25.09382, 0
14.31835, 189.1302, 2.107756, 7.859294, 13.60813, 19.35108, 25.09314, 0
14.47412, 187.0793, 2.105744, 7.85714, 13.60647, 19.34916, 25.09063, 0
14.62982, 185.5669, 2.104128, 7.855429, 13.60466, 19.34783, 25.08953, 0
14.78553, 183.6203, 2.102099, 7.853733, 13.60232, 19.34603, 25.08766, 0
14.94128, 182.763, 2.101704, 7.852862, 13.60149, 19.34489, 25.08661, 0
15.0971, 181.6537, 2.100492, 7.852006, 13.60066, 19.34334, 25.08551, 0
15.25285, 180.9371, 2.100024, 7.851136, 13.59983, 19.34297, 25.08447, 0
15.40865, 178.524, 2.097646, 7.848615, 13.59777, 19.34057, 25.08177, 0
15.56435, 178.4065, 2.097268, 7.848431, 13.59693, 19.34103, 25.08227, 0
15.72005, 176.9678, 2.095735, 7.847016, 13.5961, 19.33933, 25.0804, 0
15.87588, 175.8715, 2.094739, 7.846298, 13.59486, 19.3379, 25.0793, 0
16.03165, 175.8551, 2.095248, 7.846002, 13.59444, 19.3382, 25.07935, 0
16.18738, 175.2646, 2.09444, 7.845574, 13.59403, 19.33743, 25.0786, 0
16.3431, 174.3027, 2.093121, 7.84456, 13.5934, 19.33665, 25.07752, 0
16.49865, 173.8343, 2.092823, 7.844291, 13.59279, 19.33549, 25.07752, 0
16.6543, 173.0069, 2.092015, 7.843174, 13.59196, 19.33521, 25.07643, 0
16.81007, 172.2624, 2.091611, 7.842579, 13.59113, 19.33404, 25.0757, 0
16.96572, 172.2643, 2.091503, 7.842564, 13.59154, 19.33446, 25.07574, 0
17.12135, 170.9951, 2.089705, 7.841059, 13.58989, 19.33315, 25.07492, 0
17.27697, 172.0278, 2.091509, 7.842121, 13.59112, 19.3337, 25.07543, 0
17.43258, 171.208, 2.090399, 7.841724, 13.58988, 19.33317, 25.0746, 0
17.58827, 170.6333, 2.089838, 7.840868, 13.58961, 19.33237, 25.07424, 0
17.74405, 170.5637, 2.0896, 7.840853, 13.58965, 19.3329, 25.07428, 0
17.89978, 170.2097, 2.088791, 7.840607, 13.58905, 19.33243, 25.07392, 0
18.05562, 170.2316, 2.089479, 7.840837, 13.58947, 19.33254, 25.07359, 0
18.21123, 169.6002, 2.088387, 7.839811, 13.58864, 19.33174, 25.07317, 0
18.36692, 169.0173, 2.088107, 7.839585, 13.58781, 19.33093, 25.07239, 0
18.52273, 168.6805, 2.088387, 7.839331, 13.58781, 19.33135, 25.07281, 0
18.67845, 169.3352, 2.087983, 7.83957, 13.58798, 19.33127, 25.07245, 0
18.83418, 168.5427, 2.087571, 7.838918, 13.5874, 19.33055, 25.07203, 0
18.98987, 168.2038, 2.087167, 7.838492, 13.58698, 19.33047, 25.07166, 0
19.14568, 168.6382, 2.087579, 7.838521, 13.5874, 19.33057, 25.07135, 0
19.30145, 168.6117, 2.087588, 7.839127, 13.58739, 19.33098, 25.07213, 0
19.45703, 168.3801, 2.087588, 7.838698, 13.58739, 19.33021, 25.07176, 0
19.61272, 168.4716, 2.087861, 7.839346, 13.58781, 19.33062, 25.07144, 0
19.76855, 168.3317, 2.087596, 7.839111, 13.58739, 19.33062, 25.07217, 0
19.92415, 168.3212, 2.086922, 7.838698, 13.58657, 19.33021, 25.07139, 0
20.0798, 168.0975, 2.087324, 7.838698, 13.58698, 19.33021, 25.07102, 0
20.23547, 168.3615, 2.087596, 7.838916, 13.58739, 19.33023, 25.07142, 0
20.39112, 168.2397, 2.087596, 7.838683, 13.58698, 19.33062, 25.07144, 0
20.54677, 167.7397, 2.08678, 7.837843, 13.58698, 19.32982, 25.07102, 0
20.70248, 167.8686, 2.08652, 7.838467, 13.58615, 19.32943, 25.07101, 0
20.85823, 168.1431, 2.087455, 7.838255, 13.58656, 19.32984, 25.07105, 0
21.01388, 168.2487, 2.087192, 7.838683, 13.58698, 19.32984, 25.07107, 0
21.1696, 167.8963, 2.087334, 7.838255, 13.58672, 19.32984, 25.07107, 0
21.32517, 167.1559, 2.086118, 7.83719, 13.58657, 19.32936, 25.07029, 0
21.48085, 168.0618, 2.087201, 7.838668, 13.58681, 19.33026, 25.07112, 0
21.63645, 166.9552, 2.08652, 7.837415, 13.58532, 19.32897, 25.07029, 0
21.79222, 167.0446, 2.086118, 7.837415, 13.58574, 19.32904, 25.07066, 0
21.9478, 167.2109, 2.086643, 7.837828, 13.58631, 19.32868, 25.07036, 0
22.10347, 166.7372, 2.085972, 7.837415, 13.5859, 19.3282, 25.06995, 0
22.25915, 167.5998, 2.086384, 7.838255, 13.58656, 19.32945, 25.07034, 0
22.41482, 167.5486, 2.086788, 7.838028, 13.58615, 19.32945, 25.07107, 0
22.5705, 167.5177, 2.086797, 7.83824, 13.58656, 19.32987, 25.07109, 0
22.7261, 167.3331, 2.086788, 7.837828, 13.58631, 19.329, 25.0707, 0
22.88175, 167.3266, 2.08653, 7.837828, 13.58656, 19.32939, 25.07068, 0
23.0375, 167.4448, 2.086788, 7.837828, 13.58656, 19.32945, 25.07034, 0
